SNo.,document_id,source_group,corpus_pack,file_name,file_extension,relative_path,absolute_path,file_size_bytes,last_modified_datetime,sha256_checksum,supported_file_type,extraction_method_hint,index_in_rag,ingest_status,notes
0,DOC_000001,client_data,TXN_HELIOS_001,Synthetic_Project_Helios_Investment_Memorandum.docx:Zone.Identifier:Zone.Identifier,.identifier,client_data/TXN_HELIOS_001/Synthetic_Project_Helios_Investment_Memorandum.docx:Zone.Identifier:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/Synthetic_Project_Helios_Investment_Memorandum.docx:Zone.Identifier:Zone.Identifier,25,2026-06-25 17:59:14,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
1,DOC_000002,client_data,TXN_HELIOS_001,Synthetic_Project_Helios_Market_and_Benchmark_Note.docx:Zone.Identifier,.identifier,client_data/TXN_HELIOS_001/Synthetic_Project_Helios_Market_and_Benchmark_Note.docx:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/Synthetic_Project_Helios_Market_and_Benchmark_Note.docx:Zone.Identifier,25,2026-06-25 17:23:22,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
2,DOC_000003,client_data,TXN_HELIOS_001,Synthetic_Project_Helios_Market_and_Benchmark_Note.docx:Zone.Identifier:Zone.Identifier,.identifier,client_data/TXN_HELIOS_001/Synthetic_Project_Helios_Market_and_Benchmark_Note.docx:Zone.Identifier:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/Synthetic_Project_Helios_Market_and_Benchmark_Note.docx:Zone.Identifier:Zone.Identifier,25,2026-06-25 17:59:14,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
3,DOC_000004,client_data,TXN_HELIOS_001,Synthetic_Project_Helios_IC_Deck.pdf,.pdf,client_data/TXN_HELIOS_001/Synthetic_Project_Helios_IC_Deck.pdf,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/Synthetic_Project_Helios_IC_Deck.pdf,146380,2026-06-25 17:23:22,fb5449274faee6666026100e42a0240a0cc8898a800cbeac0387f33de5d1398e,Yes,extract_pdf_text,Yes,pending,
4,DOC_000005,client_data,TXN_HELIOS_001,Synthetic_Project_Helios_Financial_Assumptions.xlsx:Zone.Identifier:Zone.Identifier,.identifier,client_data/TXN_HELIOS_001/Synthetic_Project_Helios_Financial_Assumptions.xlsx:Zone.Identifier:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/Synthetic_Project_Helios_Financial_Assumptions.xlsx:Zone.Identifier:Zone.Identifier,25,2026-06-25 17:59:14,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
5,DOC_000006,client_data,TXN_HELIOS_001,Synthetic_Project_Helios_IC_Deck.pdf:Zone.Identifier,.identifier,client_data/TXN_HELIOS_001/Synthetic_Project_Helios_IC_Deck.pdf:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/Synthetic_Project_Helios_IC_Deck.pdf:Zone.Identifier,25,2026-06-25 17:23:22,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
6,DOC_000007,client_data,TXN_HELIOS_001,synthetic_submission_manifest.csv,.csv,client_data/TXN_HELIOS_001/synthetic_submission_manifest.csv,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/synthetic_submission_manifest.csv,701,2026-06-25 17:23:22,7602fc9fd5a530e199938d03d515461763d143c8a82d37734d27386a7e23a837,Yes,read_csv_table,No,pending,
7,DOC_000008,client_data,TXN_HELIOS_001,README_SYNTHETIC_PACK.md,.md,client_data/TXN_HELIOS_001/README_SYNTHETIC_PACK.md,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/README_SYNTHETIC_PACK.md,1050,2026-06-25 17:23:22,b88beb92ccf9df452e76ba8e67a7ad2fc06042ad04af56e89f82ed943845d596,Yes,read_text_file,Yes,pending,
8,DOC_000009,client_data,TXN_HELIOS_001,Synthetic_Project_Helios_IC_Deck.pptx:Zone.Identifier,.identifier,client_data/TXN_HELIOS_001/Synthetic_Project_Helios_IC_Deck.pptx:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/Synthetic_Project_Helios_IC_Deck.pptx:Zone.Identifier,25,2026-06-25 17:23:22,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
9,DOC_000010,client_data,TXN_HELIOS_001,synthetic_submission_manifest.csv:Zone.Identifier,.identifier,client_data/TXN_HELIOS_001/synthetic_submission_manifest.csv:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/synthetic_submission_manifest.csv:Zone.Identifier,25,2026-06-25 17:23:22,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
